,movie_title,imdb_score,genres,director_name,plot_keywords,actors,movie_imdb_link,movie_titles
0,The Shawshank Redemption ,9.3,Crime|Drama,FrankDarabont,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,MorganFreeman|JeffreyDeMunn|BobGunton,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,The Shawshank Redemption
1,The Godfather ,9.2,Crime|Drama,FrancisFordCoppola,crime family|mafia|organized crime|patriarch|rise to power,AlPacino|MarlonBrando|RobertDuvall,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,The Godfather
2,The Dark Knight ,9.0,Action|Crime|Drama|Thriller,ChristopherNolan,based on comic book|dc comics|psychopath|star died before release|urban setting,ChristianBale|HeathLedger|MorganFreeman,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,The Dark Knight
3,The Godfather: Part II ,9.0,Crime|Drama,FrancisFordCoppola,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,RobertDeNiro|AlPacino|RobertDuvall,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,The Godfather: Part II
4,Schindler's List ,8.9,Biography|Drama|History,StevenSpielberg,german|german soldier|jew|jewish|nazi,LiamNeeson|EmbethDavidtz|CarolineGoodall,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,Schindler's List
5,12 Angry Men ,8.9,Crime|Drama,SidneyLumet,courtroom|dialogue driven|dialogue driven storyline|jury|murder,JackWarden|LeeJ.Cobb|JohnFiedler,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,12 Angry Men
6,The Lord of the Rings: The Return of the King ,8.9,Action|Adventure|Drama|Fantasy,PeterJackson,battle|epic|king|orc|ring,OrlandoBloom|BillyBoyd|BernardHill,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,The Lord of the Rings: The Return of the King
7,Pulp Fiction ,8.9,Crime|Drama,QuentinTarantino,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,BruceWillis|EricStoltz|PhilLaMarr,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,Pulp Fiction
8,"The Good, the Bad and the Ugly ",8.9,Western,SergioLeone,civil war|hitman|outlaw|shootout|spaghetti western,ClintEastwood|LuigiPistilli|EnzoPetito,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,"The Good, the Bad and the Ugly"
9,Inception ,8.8,Action|Adventure|Sci-Fi|Thriller,ChristopherNolan,ambiguous ending|corporate espionage|dream|subconscious|thief,LeonardoDiCaprio|TomHardy|JosephGordon-Levitt,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,Inception
10,The Lord of the Rings: The Fellowship of the Ring ,8.8,Action|Adventure|Drama|Fantasy,PeterJackson,elf|hobbit|middle earth|quest|ring,ChristopherLee|OrlandoBloom|BillyBoyd,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,The Lord of the Rings: The Fellowship of the Ring
11,Forrest Gump ,8.8,Comedy|Drama,RobertZemeckis,amputee|love|vietnam|vietnam war|war hero,TomHanks|SiobhanFallonHogan|SamAnderson,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,Forrest Gump
12,Fight Club ,8.8,Drama,DavidFincher,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,BradPitt|MeatLoaf|EugenieBondurant,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,Fight Club
13,Star Wars: Episode V - The Empire Strikes Back ,8.8,Action|Adventure|Fantasy|Sci-Fi,IrvinKershner,duel|famous twist|rebel|rescue|snowy landscape,HarrisonFord|KennyBaker|AnthonyDaniels,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,Star Wars: Episode V - The Empire Strikes Back
14,The Lord of the Rings: The Two Towers ,8.7,Action|Adventure|Drama|Fantasy,PeterJackson,epic|evil wizard|middle earth|ring|wizard,ChristopherLee|OrlandoBloom|BillyBoyd,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,The Lord of the Rings: The Two Towers
15,One Flew Over the Cuckoo's Nest ,8.7,Drama,MilosForman,1960s|escape|mental institution|nurse|sexuality,ScatmanCrothers|MichaelBerryman|LouiseFletcher,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,One Flew Over the Cuckoo's Nest
